Exited
6252,0
4684,0
1731,0
4742,0
4521,0
6340,0
576,0
5202,1
6363,0
439,0
2750,1
7487,1
5272,1
5653,0
3999,0
6033,0
582,0
9930,0
7051,0
8158,0
9896,0
2249,0
4640,1
9485,0
4947,0
9920,1
1963,0
8243,0
6590,0
8847,0
321,0
2678,0
4625,0
4949,0
8328,0
3337,1
5589,1
251,0
3973,0
6630,0
5547,1
35,1
8362,0
1513,0
9317,1
39,0
4819,0
3465,0
1760,1
2304,0
3723,0
8284,0
4993,0
8127,1
3032,1
7938,0
3039,0
9655,0
2545,0
2592,0
1188,0
7966,0
6077,0
107,0
1315,0
8187,0
2753,0
9753,0
6231,1
2876,0
5323,0
799,0
3570,1
2894,0
2927,0
8178,0
971,0
6687,0
8575,0
2020,0
9054,0
952,0
5359,1
3857,0
5861,0
3145,1
3305,0
3006,1
9001,0
7770,0
7438,0
7942,1
9238,0
1056,0
3154,0
3787,1
9189,0
7825,1
7539,0
7231,0
764,1
5019,1
4903,0
8093,0
6843,0
2165,0
1862,1
7850,0
9123,0
2340,1
5527,0
6743,1
4003,0
1123,1
8709,0
4049,0
7640,0
765,0
2344,1
4071,0
7216,1
4216,0
7952,0
5970,0
3350,0
4695,0
3399,1
4081,0
9149,0
1224,0
6292,0
3122,0
510,0
5794,0
8181,0
9417,0
96,0
6681,0
1512,0
8791,0
119,0
7791,0
6517,0
33,0
7887,0
6830,0
5421,0
1068,1
1347,0
4747,0
6005,0
6039,0
3817,1
8446,0
5269,1
6897,1
5309,0
31,0
5674,0
4386,0
29,0
4202,0
7507,1
735,0
2067,0
106,0
9644,0
8894,0
8020,0
2232,0
993,0
9412,0
7058,1
6789,0
360,0
304,0
2627,0
8965,0
4513,0
5910,0
8313,0
3100,0
5703,0
3898,1
5440,1
7930,0
621,0
7235,0
2498,0
713,0
8403,0
2855,0
4269,0
2908,0
8080,0
4516,1
1261,0
3160,0
970,0
3912,0
5198,0
8846,0
259,0
3790,1
9202,0
487,1
7907,0
518,1
8342,0
311,0
3231,0
7932,0
7457,1
9783,0
5183,0
8076,1
6501,0
6790,0
7772,1
2737,0
7841,1
6261,0
8205,0
1247,0
9335,0
4194,0
8000,0
7377,0
3434,0
5381,0
958,0
416,1
5741,0
6727,1
4381,0
5196,0
1112,0
2688,0
6472,1
8819,0
7807,0
3410,0
80,0
4613,0
1373,1
1509,0
6442,0
3070,0
3015,0
4822,1
7821,0
92,0
9420,0
6599,1
4442,0
7601,0
3834,0
9701,0
4321,0
3393,0
4751,1
7228,1
9190,0
2360,0
1147,0
5665,0
8074,0
4942,0
3662,0
1562,1
4112,0
9049,0
9275,0
8537,0
794,0
5853,1
7618,0
1593,0
7417,0
5266,0
7146,0
88,1
8694,0
9731,0
9445,1
6753,0
3501,0
2233,0
